sku_code,sku_name,station,platform,abcd,profile_segment,blend_daily,system_daily,blend_monthly,system_monthly,actual_monthly,actual_daily,error_daily,ape,kpi_comparable,version_no
DJ502410,VD 竹制置物架 大款+6层 原色 一个一箱,ALL,AMAZON,C,T4A,3.3385,1.5491,103.49,48.02,73,2.3548,-0.8057,0.3422,t,6 个月 · 全平台 · 全量 SKU · 2026-07-09
DJ502416,VD 竹制门厅架 储物盒+软包 原色 一个一箱,ALL,AMAZON,C,T4B,2.5210,1.0286,78.15,31.89,72,2.3226,-1.2940,0.5571,f,6 个月 · 全平台 · 全量 SKU · 2026-07-09
DJ502419,VD 竹制浴室柜 双门+双层架 原色 一个一箱,ALL,AMAZON,C,T4A,2.5071,1.2331,77.72,38.23,88,2.8387,-1.6056,0.5656,t,6 个月 · 全平台 · 全量 SKU · 2026-07-09
DJ502420,VD 竹制浴室柜 双门上墙 原色 一个一箱,ALL,AMAZON,B,T3,3.9021,3.1997,120.97,99.19,124,4.0000,-0.8003,0.2001,t,6 个月 · 全平台 · 全量 SKU · 2026-07-09
DJ502459_1_WF,"US TP 书桌 五抽圆镜三色灯带压床头柜 颜色->#1,白+原木色",ALL,UNKNOWN,B,T4B,2.5043,1.0217,77.63,31.67,76,2.4516,-1.4299,0.5833,f,6 个月 · 全平台 · 全量 SKU · 2026-07-09
DJ502483,US TA 高文件柜带布抽 一件一箱 颜色->火烧云加黑色,ALL,UNKNOWN,C,T4B,0.8274,0.3376,25.65,10.47,0,0.0000,0.3376,,f,6 个月 · 全平台 · 全量 SKU · 2026-07-09
DJ502512_1,US AE 书柜 3抽屉 带插排小台款（大款） 颜色->白色,ALL,AMAZON,B,T2,11.0495,8.6186,342.53,267.18,285,9.1935,-0.5749,0.0625,t,6 个月 · 全平台 · 全量 SKU · 2026-07-09
DJ502512_1,US AE 书柜 3抽屉 带插排小台款（大款） 颜色->白色,ALL,TIKTOK,B,T4B,1.2005,0.5762,37.22,17.86,167,5.3871,-4.8109,0.8930,f,6 个月 · 全平台 · 全量 SKU · 2026-07-09
DJ502512_1,US AE 书柜 3抽屉 带插排小台款（大款） 颜色->白色,ALL,UNKNOWN,B,T4B,0.8785,0.4217,27.23,13.07,21,0.6774,-0.2557,0.3775,f,6 个月 · 全平台 · 全量 SKU · 2026-07-09
DJ502512_13,"US AE 书柜 3抽屉 带插排小台款（大款） 颜色->#3,灰木纹色",ALL,AMAZON,A,T2,16.5741,12.9278,513.80,400.76,378,12.1935,0.7343,0.0602,t,6 个月 · 全平台 · 全量 SKU · 2026-07-09
