sku_code,sku_name,station,platform,abcd,profile_segment,blend_daily,system_daily,effective_daily,blend_monthly,system_monthly,effective_monthly,actual_monthly,actual_daily,version_no,version_status
DJVN000213_1,"US WIN 可抽拉置物板床头柜 二件一箱 颜色->#1,棕色大通元素E60182",ALL,AMAZON,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,19,0.6129,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000214_1,US PIX 厨房岛台-基础款 农舍风 一件一箱 其他->#1,ALL,AMAZON,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,9,0.2903,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000215_1,US PIX 迷你冰箱柜-农舍款（双色）  一件两箱  其他->#2,ALL,AMAZON,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,9,0.2903,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000216_1,US PIX 迷你冰箱柜-现代款（黑色） 一件两箱 其他->#2,ALL,AMAZON,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,20,0.6452,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000216_1,US PIX 迷你冰箱柜-现代款（黑色） 一件两箱 其他->#2,ALL,TEMU,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,2,0.0645,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000218_1,"US PIX 咖啡吧柜（一门一抽款） 一件一箱 其他->#1,黄胡桃色+云溪白色",ALL,AMAZON,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,16,0.5161,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000219_1,"US PIX 咖啡吧柜（双门一抽款) 一件两箱 其他->#1,黄胡桃色+云溪白色",ALL,AMAZON,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,4,0.1290,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000222_1,US WIN L型换鞋凳-格栅款 一件一箱 颜色：胡桃纹-玛莎PS311521/卡其色小麻布AT02-5,ALL,AMAZON,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,41,1.3226,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000224_1,US WIN L型换鞋凳-骨骼线款 一件一箱 颜色: 胡桃纹-玛莎PS311521/卡其色小麻布AT02-5,ALL,AMAZON,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,24,0.7742,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000225_1,"US WIN L型移动文件柜行政桌 一件两箱 颜色->#1,浮雕山纹黑DS6607",ALL,AMAZON,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,55,1.7742,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
SFDJ503122_1,US SD 谷仓门双顶咖啡桌 一件一箱 颜色->浅橡木灰,ALL,TIKTOK,D,T4B,1.7330,0.8318,0.8318,53.72,25.79,25.79,38,1.2258,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
